         307659 function calls (307568 primitive calls) in 6.601 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3446    0.000    0.000    0.001    0.000 {built-in method builtins.next}
     2673    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/builder/__init__.py:290(can_be_empty_element)
     3156    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
     2673    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/builder/__init__.py:636(set_up_substitutions)
      275    0.000    0.000    1.179    0.004 /usr/lib/python3.13/ssl.py:1289(recv_into)
       36    0.000    0.000    0.004    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/response.py:122(decompress)
     2672    0.000    0.000    0.000    0.000 /usr/lib/python3.13/_markupbase.py:36(getpos)
     3465    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/element.py:2763(descendants)
     2698    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     2561    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      275    0.000    0.000    1.179    0.004 /usr/lib/python3.13/socket.py:706(readinto)
     4428    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/element.py:2219(__bool__)
     2523    0.000    0.000    0.000    0.000 /usr/lib/python3.13/html/parser.py:127(clear_cdata_mode)
     2690    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      772    0.000    0.000    0.001    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/filter.py:623(_match_attribute_value_helper)
     2739    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     1681    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/filter.py:292(matches_string)
     2136    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/filter.py:259(_base_match)
     1907    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       55    0.000    0.000    0.331    0.006 {method 'read' of '_io.BufferedReader' objects}
      120    0.000    0.000    0.001    0.000 /usr/lib/python3.13/_markupbase.py:165(parse_comment)
      275    0.000    0.000    1.178    0.004 /usr/lib/python3.13/ssl.py:1129(read)
     1831    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/_collections.py:93(__getitem__)
      275    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      120    0.000    0.000    0.001    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/builder/_htmlparser.py:285(handle_comment)
      275    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      542    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/element.py:2160(get)
       36    0.000    0.000    0.336    0.009 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/response.py:1173(read_chunked)
        1    0.000    0.000    6.601    6.601 /home/misha/Files/DS_Bootcamp.Day03-1/src/ex04/financial.py:8(fetch_data)
      455    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/filter.py:321(matches_tag)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/ssl.py:1361(_real_close)
       47    0.000    0.000    0.848    0.018 {method 'readline' of '_io.BufferedReader' objects}
       35    0.000    0.000    0.332    0.009 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/response.py:1151(_handle_chunk)
        2    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
       50    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/__init__.py:330(_compile)
      276    0.000    0.000    0.000    0.000 /usr/lib/python3.13/socket.py:744(readable)
        6    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/util/url.py:227(_encode_invalid_chars)
    40/10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       35    0.000    0.000    0.004    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/response.py:469(_decode)
      482    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      277    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:511(_parse)
       50    0.000    0.000    0.000    0.000 /usr/lib/python3.13/html/parser.py:123(set_cdata_mode)
       53    0.000    0.000    0.331    0.006 /usr/lib/python3.13/http/client.py:635(_safe_read)
      6/2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_compiler.py:37(_compile)
       56    0.000    0.000    0.001    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/builder/_htmlparser.py:127(handle_startendtag)
       36    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/response.py:1133(_update_chunk_length)
      552    0.000    0.000    0.000    0.000 /usr/lib/python3.13/ssl.py:1117(_checkClosed)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/urllib/request.py:2495(getproxies_environment)
        4    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/filter.py:378(__init__)
      245    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/email/parser.py:56(parsestr)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x7f4df1f01a80}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/email/feedparser.py:472(_parse_headers)
        1    0.000    0.000    0.120    0.120 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/__init__.py:209(__init__)
        3    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.13/email/feedparser.py:218(_parsegen)
        1    0.000    0.000    1.473    1.473 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/requests/sessions.py:673(send)
        8    0.000    0.000    0.000    0.000 <frozen _collections_abc>:979(update)
        1    0.000    0.000    0.192    0.192 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/util/connection.py:27(create_connection)
        2    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.13/urllib/parse.py:374(urlparse)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
      150    0.000    0.000    0.000    0.000 <frozen os>:734(__iter__)
    77/75    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        9    0.000    0.000    0.000    0.000 {built-in method posix.stat}
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.13/queue.py:180(get)
        1    0.000    0.000    0.287    0.287 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/connection.py:669(connect)
        4    0.000    0.000    0.006    0.001 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/filter.py:163(find_all)
       11    0.000    0.000    0.000    0.000 /usr/lib/python3.13/queue.py:140(put)
        4    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
    25/21    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/filter.py:490(_make_match_rules)
        1    0.000    0.000    0.095    0.095 /usr/lib/python3.13/ssl.py:990(_create)
      152    0.000    0.000    0.000    0.000 <frozen os>:797(decode)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.13/http/client.py:1294(putheader)
      109    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/urllib/parse.py:469(urlsplit)
       25    0.000    0.000    0.000    0.000 /usr/lib/python3.13/email/_policybase.py:301(header_source_parse)
        1    0.000    0.000    0.743    0.743 /usr/lib/python3.13/http/client.py:291(_read_status)
        1    0.000    0.000    0.095    0.095 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/connection.py:846(_ssl_wrap_socket_and_match_hostname)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
        2    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/util/url.py:367(parse_url)
        1    0.000    0.000    0.105    0.105 /usr/lib/python3.13/http/client.py:213(_read_headers)
        8    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/builder/_htmlparser.py:226(handle_charref)
        1    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/connection.py:369(request)
        1    0.000    0.000    1.137    1.137 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/requests/adapters.py:613(send)
       36    0.000    0.000    0.336    0.009 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/requests/models.py:816(generate)
        1    0.000    0.000    0.101    0.101 /usr/lib/python3.13/socket.py:960(getaddrinfo)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/encodings/__init__.py:71(search_function)
        1    0.000    0.000    0.849    0.849 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/connection.py:485(getresponse)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.13/email/message.py:498(get)
       13    0.000    0.000    0.000    0.000 {method 'decode' of 'bytearray' objects}
        4    0.000    0.000    0.006    0.001 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/element.py:1079(_find_all)
       50    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/__init__.py:287(compile)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_parser.py:451(_parse_sub)
       42    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/requests/structures.py:46(__setitem__)
        1    0.000    0.000    0.000    0.000 {built-in method today}
    28/26    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       50    0.000    0.000    0.000    0.000 /usr/lib/python3.13/enum.py:199(__get__)
       36    0.000    0.000    0.336    0.009 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/response.py:1044(stream)
        1    0.000    0.000    1.136    1.136 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/connectionpool.py:377(_make_request)
        1    0.000    0.000    1.137    1.137 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/connectionpool.py:592(urlopen)
        9    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/filter.py:224(__init__)
       14    0.000    0.000    0.000    0.000 /usr/lib/python3.13/enum.py:695(__call__)
       34    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.849    0.849 /usr/lib/python3.13/http/client.py:324(begin)
        1    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/connectionpool.py:175(__init__)
        4    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/util/url.py:301(_normalize_host)
       25    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/_collections.py:300(add)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/socket.py:221(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
       29    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/_collections.py:257(__getitem__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
       39    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/_collections.py:335(extend)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.13/typing.py:1423(__init__)
        1    0.000    0.000    1.474    1.474 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/requests/sessions.py:500(request)
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.13/typing.py:1368(__setattr__)
