         307640 function calls (307545 primitive calls) in 1.950 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1907    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     1831    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
     1753    0.001    0.000    0.003    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/filter.py:538(matches_tag)
     1679    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/filter.py:292(matches_string)
     1446    0.001    0.000    0.001    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/__init__.py:906(_linkage_fixer)
      772    0.000    0.000    0.001    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/filter.py:623(_match_attribute_value_helper)
      548    0.000    0.000    0.000    0.000 /usr/lib/python3.13/ssl.py:1117(_checkClosed)
      542    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/element.py:2160(get)
      482    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      455    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/filter.py:321(matches_tag)
      455    0.000    0.000    0.001    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/filter.py:612(_attribute_match)
      417    0.001    0.000    0.003    0.000 {method 'sub' of 're.Pattern' objects}
      275    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      274    0.000    0.000    0.000    0.000 /usr/lib/python3.13/socket.py:744(readable)
      273    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      273    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      273    0.000    0.000    1.541    0.006 /usr/lib/python3.13/ssl.py:1289(recv_into)
