         266209 function calls (266154 primitive calls) in 2.117 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      772    0.000    0.000    0.001    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/filter.py:623(_match_attribute_value_helper)
     2730    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     1681    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/filter.py:292(matches_string)
     2672    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/builder/_lxml.py:401(_prefix_for_namespace)
      884    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     2136    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/filter.py:259(_base_match)
      884    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/_compiler.py:241(_optimize_charset)
      885    0.000    0.000    0.000    0.000 /usr/lib/python3.13/socket.py:744(readable)
      120    0.000    0.000    0.001    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/builder/_lxml.py:454(comment)
     1770    0.000    0.000    0.000    0.000 /usr/lib/python3.13/ssl.py:1117(_checkClosed)
     1756    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/element.py:2219(__bool__)
      542    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/element.py:2160(get)
      886    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
        2    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
      455    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/filter.py:321(matches_tag)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/ssl.py:1361(_real_close)
      113    0.000    0.000    0.000    0.000 <frozen _collections_abc>:827(items)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/stringprep.py:1(<module>)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        6    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/util/url.py:227(_encode_invalid_chars)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.13/enum.py:1455(_missing_)
       26    0.000    0.000    0.936    0.036 {method 'readline' of '_io.BufferedReader' objects}
     19/4    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x7faa919102c0}
        1    0.000    0.000    2.116    2.116 /home/misha/Files/DS_Bootcamp.Day03-1/src/ex04/financial_enhanced.py:8(fetch_data)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/email/parser.py:56(parsestr)
        3    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        4    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/filter.py:378(__init__)
        1    0.000    0.000    0.085    0.085 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/__init__.py:209(__init__)
        1    0.000    0.000    0.107    0.107 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/connection.py:846(_ssl_wrap_socket_and_match_hostname)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/email/feedparser.py:472(_parse_headers)
        1    0.000    0.000    0.336    0.336 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/urllib3/connection.py:669(connect)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.13/email/feedparser.py:218(_parsegen)
       93    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
